央视,#genre#
CCTV1,http://zhixiao.outside.live.pthv.gitv.tv/live/CCTV1hd-8M/live.m3u8
CCTV1,https://vip.taoiptv.cn/source/itv.php?id=CCTV150FPS.m3u8&sign=mzxn4l$4K 50FPS
CCTV1,http://rihou.cc:567/dd.php?id=cctv1&.m3u8$咪咕源
CCTV1,http://beijinglive.online.domybox.com:91/live/CCTV1hd-8M/live.m3u8$鹏博士
CCTV1,http://1.82.215.141:80/xjbuv52-zp.live.bestvcdn.com.cn/live/program/live/cctv1hd8m/8000000/mnf.m3u8$可回看
CCTV1,http://111.31.22.5/cache.ott.fifalive.itv.cmvideo.cn/000000001000/1.m3u8?channel-id=ystenlive&Contentid=1000000005000265001&livemode=1&stbId=3$易视腾

CCTV2,http://zhixiao.outside.live.pthv.gitv.tv/live/CCTV2hd-8M/live.m3u8
CCTV2,https://vip.taoiptv.cn/source/itv.php?id=CCTV250FPS.m3u8&sign=mzxn4l$50FPS
CCTV2,http://rihou.cc:567/dd.php?id=cctv2&.m3u8$咪咕源
CCTV2,http://beijinglive.online.domybox.com:91/live/CCTV2hd-8M/live.m3u8$鹏博士
CCTV2,http://1.82.215.141:80/xjbuv52-zp.live.bestvcdn.com.cn/live/program/live/cctv2hd8m/8000000/mnf.m3u8$可回看
CCTV2,http://111.31.22.5/cache.ott.fifalive.itv.cmvideo.cn/000000001000/1.m3u8?channel-id=ystenlive&Contentid=1000000001000023315&livemode=1&stbId=3$易视腾

CCTV3,http://zhixiao.outside.live.pthv.gitv.tv/live/CCTV3hd-8M/live.m3u8
CCTV3,https://vip.taoiptv.cn/source/itv.php?id=CCTV3HEVC.m3u8&sign=mzxn4l$HEVC
CCTV3,http://rihou.cc:567/dd.php?id=cctv3&.m3u8$咪咕源
CCTV3,http://beijinglive.online.domybox.com:91/live/CCTV3hd-8M/live.m3u8$鹏博士
CCTV3,http://1.82.215.141:80/xjbuv52-zp.live.bestvcdn.com.cn/live/program/live/cctv3hd8m/8000000/mnf.m3u8$可回看
CCTV3,http://111.31.22.5/cache.ott.fifalive.itv.cmvideo.cn/000000001000/1.m3u8?channel-id=ystenlive&Contentid=1000000005000265003&livemode=1&stbId=3$易视腾

CCTV4,http://zhixiao.outside.live.pthv.gitv.tv/live/CCTV4hd-8M/live.m3u8
CCTV4,https://vip.taoiptv.cn/source/itv.php?id=CCTV450FPS.m3u8&sign=mzxn4l$50FPS
CCTV4,http://rihou.cc:567/dd.php?id=cctv4&.m3u8$咪咕源
CCTV4,http://beijinglive.online.domybox.com:91/live/CCTV4hd-8M/live.m3u8$鹏博士
CCTV4,http://1.82.215.141:80/xjbuv52-zp.live.bestvcdn.com.cn/live/program/live/cctv4hd8m/8000000/mnf.m3u8$可回看
CCTV4,http://111.31.22.5/cache.ott.fifalive.itv.cmvideo.cn/000000001000/1.m3u8?channel-id=ystenlive&Contentid=1000000005000265004&livemode=1&stbId=3$易视腾

CCTV4欧洲,https://vip.taoiptv.cn/iptv1.php?id=100125&num=1&sign=mzxn4l
CCTV4欧洲,https://vip.taoiptv.cn/iptv2.php?id=100125&num=2&sign=mzxn4l
CCTV4欧洲,https://vip.taoiptv.cn/iptv3.php?id=100125&num=3&sign=mzxn4l
CCTV4欧洲,http://rihou.cc:567/dd.php?id=cctv4o&.m3u8$咪咕源

CCTV4美洲,https://vip.taoiptv.cn/iptv1.php?id=100130&num=1&sign=mzxn4l
CCTV4美洲,https://vip.taoiptv.cn/iptv2.php?id=100130&num=2&sign=mzxn4l
CCTV4美洲,https://vip.taoiptv.cn/iptv3.php?id=100130&num=3&sign=mzxn4l
CCTV4美洲,http://rihou.cc:567/dd.php?id=cctv4a&.m3u8$咪咕源

CCTV5,http://zhixiao.outside.live.pthv.gitv.tv/live/CCTV5hd-8M/live.m3u8
CCTV5,https://vip.taoiptv.cn/source/itv.php?id=CCTV5HEVC.m3u8&sign=mzxn4l$HEVC
CCTV5,http://rihou.cc:567/dd.php?id=cctv5&.m3u8$咪咕源
CCTV5,http://beijinglive.online.domybox.com:91/live/CCTV5hd-8M/live.m3u8$鹏博士
CCTV5,http://1.82.215.141:80/xjbuv52-zp.live.bestvcdn.com.cn/live/program/live/cctv58m/8000000/mnf.m3u8$可回看
CCTV5,http://111.31.22.5/cache.ott.fifalive.itv.cmvideo.cn/000000001000//1.m3u8?channel-id=ystenlive&Contentid=1000000005000265005&livemode=1&stbId=3$易视腾

CCTV5+,http://zhixiao.outside.live.pthv.gitv.tv/live/CCTV5+hd-8M/live.m3u8
CCTV5+,https://vip.taoiptv.cn/source/itv.php?id=CCTV5pHEVC.m3u8&sign=mzxn4l$HEVC
CCTV5+,http://rihou.cc:567/dd.php?id=cctv5p&.m3u8$咪咕源
CCTV5+,http://beijinglive.online.domybox.com:91/live/CCTV5+hd-8M/live.m3u8$鹏博士
CCTV5+,http://1.82.215.141:80/xjbuv52-zp.live.bestvcdn.com.cn/live/program/live/cctv5phd8m/8000000/mnf.m3u8$可回看
CCTV5+,http://111.31.22.5/cache.ott.fifalive.itv.cmvideo.cn/000000001000//1.m3u8?channel-id=ystenlive&Contentid=1000000005000265016&livemode=1&stbId=3$易视腾

CCTV6,http://mobilelive-timeshift.ysp.cctv.cn/timeshift/ysp/2013693901/timeshift.m3u8?delay=0
CCTV6,https://epg.pw/stream/c2a78d34141bd7ad12b19b2ab7f3f60f2b8a4c3bdd5c573889aad5bc3b331fe1.m3u8
CCTV6,http://zhixiao.outside.live.pthv.gitv.tv/live/CCTV6hd-8M/live.m3u8
CCTV6,https://vip.taoiptv.cn/source/itv.php?id=CCTV650FPS.m3u8&sign=mzxn4l$50FPS
CCTV6,http://114.55.117.163:8085/ysp/cctv6?id=.m3u8&sign=mzxn4l
CCTV6,http://rihou.cc:567/dd.php?id=cctv6&.m3u8$咪咕源
CCTV6,http://beijinglive.online.domybox.com:91/live/CCTV6hd-8M/live.m3u8$鹏博士
CCTV6,http://1.82.215.141:80/xjbuv52-zp.live.bestvcdn.com.cn/live/program/live/cctv68m/8000000/mnf.m3u8$可回看
CCTV6,http://111.31.22.5/cache.ott.fifalive.itv.cmvideo.cn/000000001000//1.m3u8?channel-id=ystenlive&Contentid=1000000001000001737&livemode=1&stbId=3$易视腾

CCTV7,http://zhixiao.outside.live.pthv.gitv.tv/live/CCTV7hd-8M/live.m3u8
CCTV7,https://vip.taoiptv.cn/source/itv.php?id=CCTV750FPS.m3u8&sign=mzxn4l$50FPS
CCTV7,http://rihou.cc:567/dd.php?id=cctv7&.m3u8$咪咕源
CCTV7,http://beijinglive.online.domybox.com:91/live/CCTV7hd-8M/live.m3u8$鹏博士
CCTV7,http://1.82.215.141:80/xjbuv52-zp.live.bestvcdn.com.cn/live/program/live/cctv7hd8m/8000000/mnf.m3u8$可回看
CCTV7,http://111.31.22.5/cache.ott.fifalive.itv.cmvideo.cn/000000001000//1.m3u8?channel-id=ystenlive&Contentid=1000000001000024341&livemode=1&stbId=3$易视腾

CCTV8,http://zhixiao.outside.live.pthv.gitv.tv/live/CCTV8hd-8M/live.m3u8
CCTV8,https://vip.taoiptv.cn/source/itv.php?id=CCTV8HEVC.m3u8&sign=mzxn4l$HEVC
CCTV8,http://rihou.cc:567/dd.php?id=cctv8&.m3u8$咪咕源
CCTV8,http://beijinglive.online.domybox.com:91/live/CCTV8hd-8M/live.m3u8$鹏博士
CCTV8,http://1.82.215.141:80/xjbuv52-zp.live.bestvcdn.com.cn/live/program/live/cctv88m/8000000/mnf.m3u8$可回看
CCTV8,http://111.31.22.5/cache.ott.fifalive.itv.cmvideo.cn/000000001000//1.m3u8?channel-id=ystenlive&Contentid=1000000005000265008&livemode=1&stbId=3$易视腾

CCTV9,https://vip.taoiptv.cn/source/itv.php?id=CCTV950FPS.m3u8&sign=mzxn4l$50FPS
CCTV9,http://rihou.cc:567/dd.php?id=cctv9&.m3u8$咪咕源
CCTV9,http://beijinglive.online.domybox.com:91/live/CCTV9hd-8M/live.m3u8$鹏博士
CCTV9,http://1.82.215.141:80/xjbuv52-zp.live.bestvcdn.com.cn/live/program/live/cctv9hd8m/8000000/mnf.m3u8$可回看
CCTV9,http://111.31.22.5/cache.ott.fifalive.itv.cmvideo.cn/000000001000//1.m3u8?channel-id=ystenlive&Contentid=1000000001000014583&livemode=1&stbId=3$易视腾

CCTV10,http://zhixiao.outside.live.pthv.gitv.tv/live/CCTV10hd-8M/live.m3u8
CCTV10,https://vip.taoiptv.cn/source/itv.php?id=CCTV1050FPS.m3u8&sign=mzxn4l$50FPS
CCTV10,http://rihou.cc:567/dd.php?id=cctv10&.m3u8$咪咕源
CCTV10,http://beijinglive.online.domybox.com:91/live/CCTV10hd-8M/live.m3u8$鹏博士
CCTV10,http://1.82.215.141:80/xjbuv52-zp.live.bestvcdn.com.cn/live/program/live/cctv10hd8m/8000000/mnf.m3u8$可回看
CCTV10,http://111.31.22.5/cache.ott.fifalive.itv.cmvideo.cn/000000001000//1.m3u8?channel-id=ystenlive&Contentid=1000000001000023734&livemode=1&stbId=3$易视腾

CCTV11,http://zhixiao.outside.live.pthv.gitv.tv/live/CCTV11hd-8M/live.m3u8
CCTV11,https://vip.taoiptv.cn/source/itv.php?id=CCTV1150FPS.m3u8&sign=mzxn4l$50FPS
CCTV11,http://rihou.cc:567/dd.php?id=cctv11&.m3u8$咪咕源
CCTV11,http://beijinglive.online.domybox.com:91/live/CCTV11hd-8M/live.m3u8$鹏博士
CCTV11,http://1.82.215.141:80/xjbuv52-zp.live.bestvcdn.com.cn/live/program/live/cctv11hd8m/8000000/mnf.m3u8$可回看
CCTV11,http://111.31.22.5/cache.ott.fifalive.itv.cmvideo.cn/000000001000//1.m3u8?channel-id=ystenlive&Contentid=1000000005000265011&livemode=1&stbId=3$易视腾

CCTV12,http://zhixiao.outside.live.pthv.gitv.tv/live/CCTV12hd-8M/live.m3u8
CCTV12,https://vip.taoiptv.cn/source/itv.php?id=CCTV1250FPS.m3u8&sign=mzxn4l$50FPS
CCTV12,http://rihou.cc:567/dd.php?id=cctv12&.m3u8$咪咕源
CCTV12,http://beijinglive.online.domybox.com:91/live/CCTV12hd-8M/live.m3u8$鹏博士
CCTV12,http://1.82.215.141:80/xjbuv52-zp.live.bestvcdn.com.cn/live/program/live/cctv12hd8m/8000000/mnf.m3u8$可回看
CCTV12,http://111.31.22.5/cache.ott.fifalive.itv.cmvideo.cn/000000001000//1.m3u8?channel-id=ystenlive&Contentid=1000000001000032494&livemode=1&stbId=3$易视腾

CCTV13,http://zhixiao.outside.live.pthv.gitv.tv/live/CCTV13-1500k/live.m3u8
CCTV13,https://vip.taoiptv.cn/source/itv.php?id=CCTV1350FPS.m3u8&sign=mzxn4l$50FPS
CCTV13,http://rihou.cc:567/dd.php?id=cctv13&.m3u8$咪咕源
CCTV13,http://beijinglive.online.domybox.com:91/live/CCTV13hd-8M/live.m3u8$鹏博士
CCTV13,http://1.82.215.141:80/xjbuv52-zp.live.bestvcdn.com.cn/live/program/live/cctv13xwhd8m/8000000/mnf.m3u8$可回看
CCTV13,http://111.31.22.5/cache.ott.fifalive.itv.cmvideo.cn/000000001000//1.m3u8?channel-id=bestzb&Contentid=5000000011000031108&livemode=1&stbId=3$易视腾

CCTV14,http://zhixiao.outside.live.pthv.gitv.tv/live/CCTV14hd-8M/live.m3u8
CCTV14,https://vip.taoiptv.cn/source/itv.php?id=CCTV1450FPS.m3u8&sign=mzxn4l$50FPS
CCTV14,http://rihou.cc:567/dd.php?id=cctv14&.m3u8$咪咕源
CCTV14,http://beijinglive.online.domybox.com:91/live/CCTV14hd-8M/live.m3u8$鹏博士
CCTV14,http://1.82.215.141:80/xjbuv52-zp.live.bestvcdn.com.cn/live/program/live/cctvsehd8m/8000000/mnf.m3u8$可回看
CCTV14,http://111.31.22.5/cache.ott.fifalive.itv.cmvideo.cn/000000001000//1.m3u8?channel-id=ystenlive&Contentid=1000000001000008170&livemode=1&stbId=3$易视腾

CCTV15,http://zhixiao.outside.live.pthv.gitv.tv/live/CCTV15hd-8M/live.m3u8
